current_format,new_format,
PASK,PASK,1
PBK,PBK,1
PDHK1,PDK1,1
PDHK4,PDK4,1
PDK1,PDK1,1
PERK,EIF2AK3,1
PHKG1,PHKG1,1
PHKG2,PHKG2,1
PIM1,PIM1,1
PIM2,PIM2,1
PIM3,PIM3,1
PINK1,PINK1,1
PKACA,PRKACA,1
PKACB,PRKACB,1
PKACG,PRKACG,1
PKCA,PRKCA,1
PKCB,PRKCB,1
PKCD,PRKCD,1
PKCE,PRKCE,1
PKCG,PRKCG,1
PKCH,PRKCH,1
PKCI,PRKCI,1
PKCT,PRKCQ,1
PKCZ,PRKCZ,1
PKG1,PRKG1,1
PKG2,PRKG2,1
PKN1,PKN1,1
PKN2,PKN2,1
PKN3,PKN3,1
PKR,EIF2AK2,1
PLK1,PLK1,1
PLK2,PLK2,1
PLK3,PLK3,1
PLK4,PLK4,1
PRKD1,PRKD1,1
PRKD2,PRKD2,1
PRKD3,PRKD3,1
PRKX,PRKX,1
PRP4,PRP4K,1
PRPK,TP53RK,1
QIK,SIK2,1
QSK,SIK3,1
RAF1,RAF1,1
RIPK1,RIPK1,1
RIPK2,RIPK2,1
RIPK3,RIPK3,1
ROCK1,ROCK1,1
ROCK2,ROCK2,1
RSK2,RPS6KA3,1
RSK3,RPS6KA2,1
RSK4,RPS6KA6,1
SBK,SBK1,1
SGK1,SGK1,1
SGK3,SGK3,1
SIK,SIK1,1
SKMLCK,MYLK2,1
SLK,SLK,1
SMG1,SMG1,1
SMMLCK,MYLK,1
SNRK,SNRK,1
SRPK1,SRPK1,1
SRPK2,SRPK2,1
SRPK3,SRPK3,1
SSTK,TSSK6,1
STK33,STK33,1
STLK3,STK39,1
TAK1,MAP3K7,1
TAO1,TAOK1,1
TAO2,TAOK2,1
TAO3,TAOK3,1
TBK1,TBK1,1
TGFBR1,TGFBR1,1
TGFBR2,TGFBR2,1
TLK1,TLK1,1
TLK2,TLK2,1
TNIK,TNIK,1
TSSK1,TSSK1A,1
TSSK2,TSSK2,1
TTBK1,TTBK1,1
TTBK2,TTBK2,1
TTK,TTK,1
ULK1,ULK1,1
ULK2,ULK2,1
VRK1,VRK1,1
VRK2,VRK2,1
WNK1,WNK1,1
WNK3,WNK3,1
WNK4,WNK4,1
YANK2,STK32B,1
YANK3,STK32C,1
YSK1,STK25,1
YSK4,MAP3K19,1
ZAK,MAP3K20,1
